200607,200701,200707,200801,200807,200901,200907,201001,201007,201101,201107,201201,201207,201301,201307,201401,201407,201501,201507,201601,201607
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,24,27,27
21,21,21,21,21,21,21,21,21,21,21,21,21,24,24,24,21,21,27,39,39
22,22,22,24,24,24,24,24,24,24,24,24,24,39,27,39,24,24,39,46,46
24,24,24,27,27,27,27,27,27,27,27,27,39,46,39,46,27,27,46,60,60
27,27,27,29,31,31,31,31,31,31,31,39,46,59,46,60,31,31,60,61,61
29,29,29,31,36,39,39,39,39,39,39,59,59,60,59,61,39,39,61,63,63
31,31,31,36,39,46,46,46,46,46,59,60,60,61,60,63,46,46,63,69,69
36,36,36,39,46,59,59,59,59,59,60,61,61,63,61,69,59,59,69,100,100
39,39,39,46,59,60,60,60,60,60,61,63,63,69,63,100,60,60,100,156,156
59,59,59,59,60,61,61,61,61,61,63,69,69,100,69,156,61,61,156,157,157
60,60,60,60,61,63,63,63,63,63,69,100,100,157,100,157,63,63,157,166,166
61,61,61,61,63,69,69,69,69,69,100,157,157,338,156,333,69,69,166,333,333
63,63,63,63,69,88,89,89,89,100,157,338,338,401,157,338,89,89,333,338,338
66,66,66,69,88,89,100,100,100,157,338,401,401,402,338,400,100,100,338,400,402
68,68,68,88,89,100,157,157,157,338,401,402,402,422,401,401,157,157,400,402,413
69,69,69,89,157,157,301,301,338,401,402,422,422,423,402,402,301,338,402,413,415
88,88,88,157,301,301,338,338,401,402,422,423,423,425,422,423,338,401,413,415,423
89,89,89,338,338,338,401,401,402,422,423,425,425,527,423,425,401,402,423,423,425
99,99,99,400,401,401,402,402,422,423,425,527,527,528,425,528,402,422,425,425,503
100,100,100,401,402,402,422,422,423,425,527,528,528,538,527,536,422,423,503,503,538
157,157,157,402,410,422,423,423,425,527,528,538,538,559,528,538,423,425,538,538,540
400,400,400,410,422,423,425,425,488,528,536,559,559,562,538,562,425,488,539,539,559
401,401,401,422,423,425,488,488,527,538,538,562,562,568,539,568,488,527,559,540,568
402,402,402,423,425,488,527,527,528,562,559,568,568,581,562,581,527,528,568,559,623
410,410,410,425,488,503,528,528,538,568,562,581,581,596,568,596,528,538,581,568,625
422,422,422,488,503,527,538,538,562,612,568,623,623,623,581,598,538,562,598,581,630
423,423,423,503,527,528,543,559,568,623,612,625,625,625,596,623,559,568,623,598,651
425,425,425,527,528,538,559,562,612,625,623,629,629,629,623,625,562,612,625,623,686
488,488,488,528,538,539,562,568,623,630,625,630,630,630,625,629,568,623,629,625,709
503,503,503,538,539,543,568,612,625,651,630,651,651,651,629,630,612,625,630,629,712
518,520,520,539,541,559,612,623,630,652,651,680,680,686,630,651,623,630,651,630,725
520,527,527,541,543,562,623,625,631,667,680,686,686,703,651,656,625,631,686,651,728
527,528,528,543,559,568,625,630,651,680,685,709,703,709,656,686,630,651,709,686,729
528,538,538,550,562,612,629,631,652,685,686,718,709,718,686,703,631,652,712,709,738
538,539,539,559,568,623,630,651,667,686,690,728,718,725,703,709,651,667,725,712,750
539,541,541,562,572,625,651,652,680,690,709,729,725,728,709,718,652,680,728,725,768
541,550,550,568,581,629,652,667,685,709,718,758,728,729,718,725,667,685,729,728,776
550,559,559,572,612,630,667,680,686,718,725,768,729,750,725,728,680,686,738,729,778
559,562,562,581,625,651,680,685,690,725,728,776,758,758,728,729,685,690,750,738,783
562,568,568,612,629,652,685,686,709,728,729,778,768,768,729,750,686,709,768,750,792
568,581,581,625,630,667,686,690,717,729,758,780,776,776,750,758,690,717,776,768,793
581,601,601,629,636,680,690,709,718,758,768,783,778,778,758,768,709,718,778,776,800
599,617,617,630,651,686,709,717,725,768,776,792,780,780,768,776,717,725,783,778,825
601,623,623,636,652,690,717,718,728,776,778,800,783,783,776,778,718,728,792,783,826
607,625,625,651,667,709,718,728,729,778,780,807,792,792,778,783,728,729,793,792,839
617,629,629,652,680,717,725,729,758,780,783,825,800,800,780,792,729,758,800,793,858
623,630,630,680,686,718,728,758,768,783,792,839,807,807,783,793,758,768,825,800,876
625,636,636,682,709,725,729,768,778,792,800,858,825,825,792,800,768,778,826,825,883
629,651,651,708,717,728,758,778,780,800,807,869,839,839,800,826,778,780,831,826,895
630,652,652,709,718,729,768,780,783,807,825,876,858,858,807,831,780,783,839,831,898
636,680,680,717,728,755,778,783,792,825,839,878,869,869,839,839,783,792,858,858,917
